梯度++,梯度-+,梯度+-,梯度--,卡方统计量,把握,列,名称
18.841649,31.937656,21.534631,27.686065,49.7261342538673,99.9,275,NYSE.GGP
19.475115,29.63309,22.787498,28.104298,31.5973386483905,99.9,276,NYSE.GIS
19.117246,30.460449,22.096086,28.326219,31.4557095436412,99.9,277,NYSE.GLW
19.530444,29.575163,24.071207,26.823185,66.9022317048168,99.9,278,NYSE.GM
20.039345,29.535903,21.407494,29.017258,4.75754489765535,95,279,NYSE.GPC
19.082061,31.279579,21.537637,28.100723,35.0985582161611,99.9,280,NYSE.GPN
19.798448,29.822527,22.081513,28.297512,17.7992688749908,99.9,281,NYSE.GPS
23.219137,26.758225,25.218835,24.803803,20.7546758768812,99.9,282,NYSE.GS
20.854527,29.145473,22.50763,27.49237,13.1255308418279,99.9,283,NYSE.GWW
21.496456,28.100838,23.083119,27.319588,7.57403019121338,99,284,NYSE.HAL
19.08993,30.515168,22.742775,27.652127,50.5489295713927,99.9,285,NYSE.HBI
20.772743,29.548529,22.184647,27.494082,13.7530049096154,99.9,286,NYSE.HCA
20.150771,30.018635,23.479587,26.351008,58.0220687808818,99.9,287,NYSE.HCN
18.283548,31.674836,22.232498,27.809119,68.7754813739742,99.9,288,NYSE.HCP
23.553816,26.771037,23.029354,26.645793,0.252595960490728,0,289,NYSE.HD
21.615738,28.081916,23.325002,26.977344,10.3584356212562,99.5,290,NYSE.HES
20.498995,30.405776,20.919393,28.175836,6.17401958450972,97.5,291,NYSE.HIG
19.601125,29.608153,21.885433,28.905289,12.4334384377498,99.9,292,NYSE.HOG
21.517864,28.639406,24.284216,25.558513,42.3091277439919,99.9,293,NYSE.HON
20.64235,28.171401,23.612008,27.574241,18.5223682931779,99.9,294,NYSE.HP
15.653233,34.422901,21.825195,28.09867,163.121399799073,99.9,295,NYSE.HPE
16.291481,33.165147,22.608189,27.935183,150.649448157044,99.9,296,NYSE.HPQ
18.684408,32.608696,21.008246,27.698651,50.0774442856226,99.9,297,NYSE.HRB
16.746918,31.856703,21.263482,30.132897,52.6483486133344,99.9,298,NYSE.HRL
18.909469,31.203931,20.856171,29.030429,18.3296040635796,99.9,299,NYSE.HRS
17.083904,32.622726,22.149423,28.143947,100.288446146014,99.9,300,NYSE.HST
19.578763,30.715226,21.535761,28.17025,22.7548884123769,99.9,301,NYSE.HSY
20.813008,29.504065,24.154472,25.528455,65.3746625187624,99.9,302,NYSE.HUM
23.709176,26.780715,23.77916,25.730949,1.47768019363633,75,303,NYSE.IBM
20.201932,29.868306,21.799824,28.129939,12.8360674214733,99.9,304,NYSE.ICE
16.070843,34.30633,18.29015,31.332677,24.9147294906995,99.9,305,NYSE.IFF
20.3195,28.594371,22.686163,28.399966,9.90922618701815,99.5,306,NYSE.IP
15.677796,33.095334,21.450121,29.77675,100.73246768453,99.9,307,NYSE.IPG
22.079879,27.840576,22.984175,27.09537,3.34429110805206,90,308,NYSE.IR
19.003115,31.318146,19.519081,30.159657,2.52835882057467,85,309,NYSE.IRM
18.080623,33.027126,18.620988,30.271263,7.30007319279056,99,310,NYSE.IT
21.163099,28.571429,24.033516,26.231956,33.6735946850186,99.9,311,NYSE.ITW
20.409243,29.370259,21.626389,28.594108,4.95373482409063,95,312,NYSE.IVZ
19.936737,29.10992,22.335471,28.617872,11.8354879434839,99.9,313,NYSE.JCI
18.825287,31.151368,20.730227,29.293118,15.9399058428762,99.9,314,NYSE.JEC
22.160312,27.668551,24.094563,26.076574,15.9387692081933,99.9,315,NYSE.JNJ
17.515588,32.633094,21.832134,28.019185,85.8651241601424,99.9,316,NYSE.JNPR
22.768384,27.211954,24.128982,25.89068,9.19724792094708,99.5,317,NYSE.JPM
20.657043,29.235109,23.087772,27.020076,26.7379593840425,99.9,318,NYSE.JWN
